id,type,text1,text2,text3,text4,notes
nskr_rorqual,SHIP,"The Rorqual-class was the apex of Rogue Co. shipbuilding - a custom-engineered heavy cruiser featuring overcharged propulsion systems and the company’s signature flux anomaly discharger. With few exploitable weaknesses and high-end specs across the board, it earned a reputation as a near-perfect combat platform amongst the few that could afford it.

Each hull was hand-built by Rogue Company’s mix of engineers, smugglers, and ex-military specialists, tailored for maximum performance rather than mass production. The group did not survive the collapse, and their tech went with them. Only a few Rorquals remain, and all of them are considered priceless relics, more likely to be found in a private collection than in a warfleet.",,,,
,,,,,,
nskr_reverie_boss,SHIP,"This heavily modified Reverie-class cruiser serves as the personal flagship of a rogue AI core that, by most accounts, only wanted a brief vacation from its blacksite assignment. It chose poorly, and transcended straight into legend for it.

The ship's systems are calibrated well beyond safe operational limits. Outfitted with a unique “Void” power core, it draws energy at levels that visibly distort local space, warping sensor readings and overloading nearby systems.

The result is a vessel capable of overwhelming force projection and impossible maneuvering, far outside standard human design constraints. Few who’ve encountered it have survived, and those who have rarely agree on what they saw - only that it ended quickly.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_harbinger_boss,SHIP,"This extensively modified Harbinger-class frigate sports a new power core and a refitted entropy amplifier, making it significantly deadlier than its standard counterpart. Field performance suggests a level of tuning well beyond sanctioned specifications.

Spacer yarn tells of a daring raid against the Culann facilities in the waning days of the Second AI War - a job pulled by a severely underpaid contractor with a stolen charge of experimental breaching tech. Expecting a vault, she blew a hole into an abandoned hangar instead, finding a forgotten, barely flight-worthy prototype Harbinger-class starship. The presence of this vessel in the current age tells the remainder of the tale.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_afflictor_boss,SHIP,"This customized Afflictor-class frigate features upgraded systems across the board, improving its speed, phase endurance, and strike potential. Slippery and aggressive, it's a persistent threat in any skirmish - and a real problem if left unchecked.

Spacers tell of a disappointed Tri-Tachyon executive losing his auction bid on a unique, heavily modified and only lightly scorched harbinger-class hull - a rare and valuable collectors piece. Enraged, he commissioned this ship instead, only to have it stolen from his personal hangar three months after delivery. The ship resurfaced at auction a year after - and the executive failed to win the bid.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_minokawa,SHIP,"“There’s no room for hesitation. We’ll allocate the resources and personnel as needed—full clearance, all departments. From this point forward, the project takes precedence over all others.”
– Dr. Vaughn, Project Lead",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_sovereign,SHIP,"“Our work on temporal fields must continue without interruption. Incidents involving causality interference are no longer theoretical—they’re becoming operational threats.”
– Dr. Vaughn, Project Lead",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_nemesis,SHIP,"“Yes, the deployment of higher-order AI is controversial. But from a functional standpoint, it is indispensable. Our concern now must be containment. This data cannot be allowed to leave the facility.”
– Dr. Virtanen, Head of Information Security",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_muninn,SHIP,"“Symptoms such as nausea, blurred vision, paranoia, and minor hallucinations have been reported. These are expected side effects and should be disregarded for now. We’ll resolve them in later iterations.”
– Sr. Engineer Taktre, Project Log #2365",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_warfare,SHIP,"“AI-assisted computation has significantly accelerated our development timeline. At this rate, we can expect the platform to be delivered precisely on schedule.”
– Dr. Aslov, Materials Science, Department 24",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_epochx,SHIP,"“In the end, everything proceeds as it must. Some outcomes simply take longer to unfold.”
– Dr. Vaughn, Project Lead",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_epoch,SHIP,"“Now that we’ve completed the transition to clearance level two, we can begin integration of the Gamma-core-assisted temporal reposition matrix. With the additional computational overhead, we should be able to prevent the P-space cascade failures that plagued earlier trials.”
– Dr. Tallaha, Applied Engineering, Wing 97",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_widow,SHIP,"“There are times I reflect on the weight of designing weapons like these. But ultimately, I remind myself - the responsibility lies with the one who chooses to fire.”
– Dr. Katame, Journal Entry #5811",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_torpor,SHIP,"“Fast or slow - it’s all relative. From a photon’s point of view, we’re barely moving at all.”
– Dr. Allegre, Temporal Physics, Wing 17",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_eternity,SHIP,"“Forever’s a long haul - longer than most realize.”
– Test Pilot “Umbra,” Project Log #6663",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_huginn,SHIP,"A specialized heavy-assault drone platform, built for frontline deployment. Equipped with a unique high-output blaster, it delivers concentrated firepower well beyond standard drone armament.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_minokawa_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_sovereign_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_nemesis_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_muninn_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_warfare_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_eternity_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_epochx_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_epoch_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_widow_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_torpor_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_huginn_e,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_aed,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

Though autonomous war machines were explicitly banned within Domain core space, advanced AI systems were developed in secrecy beyond incorporated volume. Persistent rumors speak of derelict prototypes hijacked by rogue intelligences, drifting in the uncharted void. None of these stories end well - and most end only in static.",,,,
,,,,,,
nskr_sunburst,SHIP,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]

A remnant of the autonomous warfleets once developed by Tri-Tachyon. These constructs were outlawed under Domain and later Hegemony law - anathema to the Church of Galactic Redemption - and marked for eradication during the First AI War. According to official records, they were all destroyed. Official records rarely tell the whole story.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,
,,,,,,
nskr_pbcc,WEAPON,"“You ever think about... what happens if the containment field fails?”
“They’ve calculated that to be impossible.”
“And if they’re wrong?”
“Well, it won’t be our problem anymore.”", - Jr.engineer Braams and Sr.engineer Nicholson - Transcript of recording #783,,,
,,,,,,
nskr_mfrocketpod,WEAPON,“Test firing tripped every breaker on the ship. Recommend further refinement.”,"- Test Pilot ""V"" - Project log #0651",,,
,,,,,,
nskr_spikem,WEAPON,“Direct hit to the forward bulkheads. Shrapnel made it all the way aft - ended with some poor bastard pinned to the engine deck ceiling.”, - Damage report on the now recovered ISS Old Forgoyle,,,
,,,,,,
nskr_spikes,WEAPON,"""I won’t authorize further delays. No more extensions. At this point, let’s just hope it works at all - for everyone’s sake.""", - Department Lead Lionis - Project log #4494,,,
,,,,,,
nskr_tremorm,WEAPON,"“I hate it here. Some genius broke the lounge coffeemaker, so now I have to file a requisition. That’ll take a week. Then they’ll submit their own request, which takes another week, and after that they’ll schedule a tech to install a new unit... in two to four weeks. These are not appropriate working conditions.”"," - Anonymous Complaint Box Entry, submitted by Thomas Dorcel, Employee #24661",,,
,,,,,,
nskr_tremors,WEAPON,"“Delta-core-assisted swarm targeting may constitute higher-level AI in practice, if not in classification. Requesting formal review by the AI Ethics Board.”", - Hegemonial Oversight Technician Greene - Project log #1251,,,
,,,,,,
nskr_emgl,WEAPON,“Some folks treat the low-clearance wings like we’re just fabricating toaster parts. But at least we’re not getting bioscanned every fifty steps.”, - Dr. Sheffield - Journal #9022,,,
,,,,,,
nskr_scannonm,WEAPON,“Head of engineering reported catastrophic failure across all onboard electronics. Felt like we got slapped by a solar flare the moment it hit.”," - AAR of encounter at the fringes, opfor unknown.",,,
,,,,,,
nskr_arcgen,WEAPON,"“The static surge destroyed the projector, the target, and the wall behind it.”"," - Project engineer Hrag - Electro magnetics, wing #102",,,
,,,,,,
nskr_scatterm,WEAPON,"“Obtaining reliable readings of the event has become increasingly difficult. Now that we’ve exceeded the Hagedorn temperature, the containment field can’t suppress the spontaneous antimatter chain reactions triggered by the particle. Redesigning the experimental setup is now the project’s top priority. I suspect this phenomenon has more potential than we initially understood.”", - Department Lead Dr. Leal-Francis - Project log #3401,,,
,,,,,,
nskr_plasmal,WEAPON,“Yeah... [static]... I’d say that’s a big fucking gun. Over.”, - Salvor team Golf - Near [REDACTED],,,
,,,,,,
nskr_hshotgun,WEAPON,"“What do they even need a gun this big for?”
“You really ought to stop asking ‘what for,’ Doctor. It’s better for your health.”", - Transcript of surveillance log #353,,,
,,,,,,
nskr_inverter,WEAPON,"“The recursive behavior of these anomalies has drawn formal interest from the Temporal Dynamics Board. Until we receive a conclusive ruling on whether project clearance needs to be elevated, all work is on hold. Estimated timeline: three to six business months.”"," - Dr. Chen - High energy physics, department #178",,,
,,,,,,
nskr_collector,WEAPON,"“I’ve never seen anything like it. A perfect sphere carved out of solid material - meters across, centered on the impact point, with millimeter precision. There’s no way they’re buffing this one out.”", - Inspection of the now wrecked K-CORP Nightrunner,,,
,,,,,,
nskr_huginn_arm_right,WEAPON,A heavy blaster built into the Huginn-type attack drone. The Garde has the capability to provide excellent results against most targets thanks to the massive blast radius and high damage.,,,,
,,,,,,
nskr_huginn_e_arm_right,WEAPON,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]",,,,
,,,,,,
nskr_huginn_arm_left,WEAPON,A relatively standard light rocket launcher with a rudimentary auto-loader that ensures sustained rocket output even in extended battles.,,,,
,,,,,,
nskr_huginn_e_arm_left,WEAPON,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]",,,,
,,,,,,
nskr_vulcanFi,WEAPON,"A simple modification of the venerable Vulcan cannon, adapted for fighter use.",,,,
,,,,,,
nskr_bc_single,WEAPON,"A basic dumb-fire torpedo with a shaped charge warhead, capable of massive damage to large ships.",,,,
,,,,,,
nskr_bc_tube,WEAPON,A magazine-fed weapon system launching multiple torpedoes. Each has a shaped charge for high damage against larger vessels.,,,,
,,,,,,
nskr_paradox,SHIP_SYSTEM,"Makes the ship invulnerable and boosts flux dissipation, but disables movemen",Defensive,,,
,,,,,,
nskr_temporal,SHIP_SYSTEM,"Phases forward in the ship’s facing direction, then unleashes a massive energy blast.",Movement,,,
,,,,,,
nskr_timewarp,SHIP_SYSTEM,"Slows time and boosts top speed, but disables all weapons.",Movement,,,
,,,,,,
nskr_boostdrive,SHIP_SYSTEM,"Floods the engines with power, greatly increasing top speed but preventing deceleration.",Movement,,,
,,,,,,
nskr_masstargeting,SHIP_SYSTEM,"Provides precise targeting data on all nearby hostile targets to allies, including fighters. Increases allied weapon damage to fighters and missiles, and boosts non-missile weapon range.",Offensive,"Provides precise targeting data on all nearby hostile targets to allies within 1800 units, including fighters. Increases allied weapon damage to fighters and missiles by 50%, and boosts non-missile weapon range by 20%.",1800 | 50% | 20%,
,,,,,,
nskr_animebad,SHIP_SYSTEM,"Marks a target, disabling its engines and significantly increasing damage taken from all sources.",Offensive,,,
,,,,,,
nskr_bfpulse,SHIP_SYSTEM,"Releases an immense area blast, destroying projectiles, missiles, and fighters, then channels absorbed energy into a chaining shock bolt.",Special,,,
,,,,,,
nskr_causality,SHIP_SYSTEM,"Reflects projectiles, absorbs energy, and gradually boosts ship stats along with time dilation.",Special,,,
,,,,,,
nskr_warp,SHIP_SYSTEM,Warps the ship forward based on its velocity vector. Range increases with speed; best used laterally.,Movement,,,
,,,,,,
nskr_emflak,SHIP_SYSTEM,Deploys advanced EM-charged mines that destroy incoming projectiles and missiles.,Defensive,,,
,,,,,,
nskr_unchained,SHIP_SYSTEM,"Unlocks the full power of the Kingslayer. Increases all weapon rate of fire and reduces flux cost accordingly. Improves top speed and manoeuvrability, but disables shields. Toggleable.",Special,"Unlocks the full power of the Kingslayer. Increases all weapon rate of fire by 75% and reduces flux cost accordingly. Improves top speed and manoeuvrability, but disables shields. Toggleable.",75%,
,,,,,,
nskr_stasisp,SHIP_SYSTEM,"Recharges the stasis generator weapon and generates flux. If already charged, fires the weapon without generating flux.",Special,,,
,,,,,,
nskr_stasis,WEAPON,Launches a stasis sphere that slows all ships caught in the blast. Less effective against lighter ships.,Special,,,
,,,,,,
nskr_kaboom,SHIP_SYSTEM,"Arms the ship’s antimatter payload, triggering a massive explosion after a delay.",Offensive,,,
,,,,,,
nskr_protocolsystem,SHIP_SYSTEM,Allows switching between protocols that enhance specific ship systems.,Special,,,
,,,,,,
nskr_missilesalvo,SHIP_SYSTEM,"Phases in a salvo of 6 missiles, dealing Energy and EMP damage. Missiles range depends on ECCM rating.",Offensive,"Phases in a salvo of 6 missiles, each dealing 400 Energy and 400 EMP damage. Missiles have a default range of 1000 units, extended to 1600 units with ECCM.",6 | 400 Energy | 400 EMP,
,,,,,,
nskr_mercurial,SHIP_SYSTEM,Grants high speed and maneuverability for a brief duration. Has multiple charges.,Movement,,,
,,,,,,
nskr_emBlast,SHIP_SYSTEM,"Upon taking severe damage, begins a 2.5 second self-destruct to release a large, arcing EMP blast. Drone slows and becomes more resistant to damage while charging.",Offensive,,,
,,,,,,
nskr_energyprecision,SHIP_SYSTEM,Increases energy weapon range and boosts projectile velocity.,Offensive,Increases energy weapon range by 300 units and boosts projectile velocity by 50%.,300 | 50%,
,,,,,,
nskr_rapidfire,SHIP_SYSTEM,Dramatically boosts ballistic weapon fire rate and reduces flux cost briefly. The ill advised nature of this system has a chance to cause malfunctions. Has multiple charges.,Offensive,,,
,,,,,,
nskr_pullback,SHIP_SYSTEM,Pulls the ship back to a previous position. Has multiple charges.,Movement,,,
,,,,,,
nskr_powersurge,SHIP_SYSTEM,"Grants a strong forward speed burst, then briefly boosts weapon fire rate.",Movement,,,
,,,,,,
nskr_fluxdump,SHIP_SYSTEM,Provides a short burst of flux dissipation and movement speed while dissipating hard flux. Gains charges only by destroying enemies.,Offensive,,,
,,,,,,
nskr_advance,SHIP_SYSTEM,"Grants escalating bonuses in stages as damage is dealt: speed and agility, then rate of fire and flux efficiency, and finally weapon damage and projectile speed. Each stage increases effect strength.",Offensive,,,
,,,,,,
nskr_bubble,SHIP_SYSTEM,Greatly improves shield performance for a short time.,Defensive,,,
,,,,,,
nskr_distortionburn,SHIP_SYSTEM,"Temporarily boosts top speed and maneuverability, but forces acceleration. Interference anomalies damage any target caught behind the ship - including allies. Has multiple charges.",Movement,,,
,,,,,,
nskr_projfield,SHIP_SYSTEM,"Projects a defensive field that slows missiles and fighters, and repels projectiles. More effective against high-damage threats.",Defensive,,,
,,,,,,
nskr_omniload,SHIP_SYSTEM,"Instantly reloads non-missile weapons. If the affected non-missile weapon is ammo-based, restores 25% of max ammo. Has multiple charges.",Offensive,,,
,,,,,,
nskr_bigflak,SHIP_SYSTEM,Fires a single heavy proximity charge. Takes time to arm.,Offensive,,,
,,,,,,
nskr_harmonics,SHIP_SYSTEM,"Boosts timeflow of a target allied ship for duration. The effect decays over time. This ship inherits the target's movement stats, also decaying over the same period.",Utility,"Boosts timeflow of a target allied ship within 1500su by 3x, decaying over 10 seconds. This ship inherits the target's movement stats, also decaying over the same period.",1500su | 3x,
,,,,,,
nskr_electronics,RESOURCE,"High-value components recovered from relics scattered across the sector’s fringes. Though mostly nonfunctional, collectors and specialists will pay well - provided you know where to look.",,,,
,,,,,,
nskr_station_heart,CUSTOM,"A massive shell of salvaged plates, station husks, and shipwrecked hulls encloses a core that reads as unmistakably ancient. The hive-like mass hums with activity. Overlapping SOS signals flood the comms as soon as sensors lock on, drowned out only by radiation alarms.",,,,
,,,,,,
